date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2021-08-29,Colombia,Tunisia,3,2,World Cup,Madrid,Colombia,true
2018-03-11,South Africa,Sweden,0,1,Friendly,Home City,South Africa,false
2019-07-23,Wales,Jamaica,1,2,WC Qualifier,Home City,Wales,false
2024-09-27,Chile,Iraq,2,0,WC Qualifier,Home City,Chile,false
2020-06-29,Iran,Norway,2,1,WC Qualifier,Home City,Iran,false
2020-03-10,Japan,Morocco,3,0,Continental Cup,Home City,Japan,false
2025-04-24,Panama,Iraq,1,1,Nations League,Home City,Panama,false
2023-02-03,Canada,Switzerland,2,2,Friendly,Home City,Canada,false
2021-06-17,Japan,Nigeria,1,0,World Cup,London,Japan,true
2020-08-26,Portugal,Jamaica,0,1,WC Qualifier,Home City,Portugal,false
2026-02-15,Spain,Netherlands,0,0,World Cup,Berlin,Spain,true
2020-02-06,Germany,Switzerland,3,0,WC Qualifier,Home City,Germany,false
2024-08-19,Netherlands,Colombia,1,0,WC Qualifier,Home City,Netherlands,false
2024-06-11,Sweden,Japan,4,1,Nations League,Home City,Sweden,false
2021-09-01,Peru,Iran,2,4,World Cup,Paris,Peru,true
2018-04-18,Iraq,France,1,4,Nations League,Home City,Iraq,false
2024-02-22,Algeria,Netherlands,0,4,Friendly,Home City,Algeria,false
2019-08-15,Panama,Wales,2,0,Friendly,Home City,Panama,false
2018-07-08,Canada,Saudi Arabia,3,0,WC Qualifier,Home City,Canada,false
2025-01-17,Nigeria,Panama,3,1,Continental Cup,Home City,Nigeria,false
2025-11-29,Cameroon,Belgium,0,2,Friendly,Home City,Cameroon,false
2020-09-28,Croatia,Iraq,1,0,Nations League,Home City,Croatia,false
2019-01-11,South Africa,England,0,1,Continental Cup,Home City,South Africa,false
2021-06-27,Colombia,Panama,2,0,World Cup,Paris,Colombia,true
2022-08-20,Peru,Ivory Coast,1,0,Friendly,Home City,Peru,false
2019-06-30,Mexico,England,2,2,Nations League,Home City,Mexico,false
2020-03-27,Paraguay,Wales,1,2,World Cup,New York,Paraguay,true
2024-01-22,Canada,Peru,3,1,Nations League,Home City,Canada,false
2019-10-16,Uruguay,England,4,2,Friendly,Home City,Uruguay,false
2019-08-13,Portugal,France,2,1,WC Qualifier,Home City,Portugal,false
2021-02-08,Italy,Switzerland,2,0,Continental Cup,Home City,Italy,false
2023-01-29,Senegal,Iraq,3,0,Continental Cup,Home City,Senegal,false
2023-04-29,Japan,Sweden,3,1,World Cup,Berlin,Japan,true
2018-03-10,Senegal,Japan,2,0,WC Qualifier,Home City,Senegal,false
2022-12-20,Cameroon,Qatar,3,1,Friendly,Home City,Cameroon,false
2020-09-16,USA,Mexico,3,1,WC Qualifier,Home City,USA,false
2020-09-19,England,Norway,2,0,WC Qualifier,Home City,England,false
2019-08-13,Nigeria,Serbia,1,1,Nations League,Home City,Nigeria,false
2026-01-08,Iran,Tunisia,2,3,Continental Cup,Home City,Iran,false
2021-04-03,South Africa,Uruguay,2,2,Friendly,Home City,South Africa,false
2018-08-06,Germany,Netherlands,2,0,Nations League,Home City,Germany,false
2019-06-28,Uruguay,Germany,3,1,World Cup,Madrid,Uruguay,true
2022-08-14,Peru,Iraq,0,1,Nations League,Home City,Peru,false
2024-02-02,Senegal,USA,3,5,WC Qualifier,Home City,Senegal,false
2024-06-02,Mexico,South Korea,2,1,WC Qualifier,Home City,Mexico,false
2022-02-03,Mexico,South Korea,2,0,Continental Cup,Home City,Mexico,false
2026-01-28,Brazil,Chile,0,0,Continental Cup,Home City,Brazil,false
2024-06-13,Peru,Qatar,2,4,Friendly,Home City,Peru,false
2022-09-10,Colombia,Tunisia,2,1,WC Qualifier,Home City,Colombia,false
2024-01-15,Austria,United Arab Emirates,1,2,Friendly,Home City,Austria,false
2021-10-29,USA,Japan,2,1,Continental Cup,Home City,USA,false
2019-06-09,Iran,Qatar,2,1,Friendly,Home City,Iran,false
2021-11-11,New Zealand,Costa Rica,0,0,Continental Cup,Home City,New Zealand,false
2025-06-23,Wales,Japan,2,0,Continental Cup,Home City,Wales,false
2021-01-15,Japan,Croatia,1,3,Friendly,Home City,Japan,false
2021-12-07,Panama,Portugal,0,0,Continental Cup,Home City,Panama,false
2024-08-07,Tunisia,Canada,0,0,Continental Cup,Home City,Tunisia,false
2023-03-01,Cameroon,Ivory Coast,3,0,Nations League,Home City,Cameroon,false
2024-11-08,Chile,Qatar,2,0,World Cup,Doha,Chile,true
2019-04-05,Chile,Algeria,1,1,Friendly,Home City,Chile,false
2018-06-25,New Zealand,Egypt,0,3,Nations League,Home City,New Zealand,false
2023-06-28,Egypt,Ivory Coast,4,0,Nations League,Home City,Egypt,false
2021-03-21,South Korea,Chile,0,1,World Cup,Madrid,South Korea,true
2020-11-13,Sweden,South Africa,1,0,Nations League,Home City,Sweden,false
2022-12-26,Portugal,South Korea,1,0,WC Qualifier,Home City,Portugal,false
2021-06-02,Colombia,Canada,4,0,Nations League,Home City,Colombia,false
2019-05-22,Spain,Portugal,2,1,WC Qualifier,Home City,Spain,false
2023-02-21,Chile,USA,1,0,Friendly,Home City,Chile,false
2019-02-14,New Zealand,Wales,1,2,Continental Cup,Home City,New Zealand,false
2021-07-19,Iran,Colombia,0,0,Continental Cup,Home City,Iran,false
2024-08-15,Croatia,Mexico,2,2,WC Qualifier,Home City,Croatia,false
2020-05-10,New Zealand,Uruguay,2,4,WC Qualifier,Home City,New Zealand,false
2023-07-22,South Korea,Mexico,2,2,Nations League,Home City,South Korea,false
2025-03-19,Iran,Sweden,3,0,World Cup,Doha,Iran,true
2023-05-27,Netherlands,Belgium,2,0,WC Qualifier,Home City,Netherlands,false
2022-07-06,Morocco,Chile,3,1,World Cup,Doha,Morocco,true
2019-02-05,South Korea,Australia,2,1,Nations League,Home City,South Korea,false
2020-05-01,Germany,United Arab Emirates,2,1,WC Qualifier,Home City,Germany,false
2022-03-26,Germany,Paraguay,4,0,Nations League,Home City,Germany,false
2024-12-31,Brazil,Qatar,5,0,Nations League,Home City,Brazil,false
2022-03-05,Panama,Austria,2,2,Continental Cup,Home City,Panama,false
2024-03-20,Croatia,Peru,3,0,World Cup,Dubai,Croatia,true
2021-04-07,Tunisia,Croatia,1,0,Continental Cup,Home City,Tunisia,false
2020-04-22,Peru,Nigeria,0,1,World Cup,Doha,Peru,true
2024-06-27,Qatar,Japan,1,0,World Cup,New York,Qatar,true
2021-10-25,Belgium,Cameroon,2,0,WC Qualifier,Home City,Belgium,false
2025-09-01,Italy,Portugal,2,2,Continental Cup,Home City,Italy,false
2024-05-29,Tunisia,United Arab Emirates,0,1,Continental Cup,Home City,Tunisia,false
2022-08-26,Germany,Egypt,4,0,Continental Cup,Home City,Germany,false
2023-10-05,Panama,United Arab Emirates,1,2,Continental Cup,Home City,Panama,false
2019-08-19,Croatia,Germany,1,1,Continental Cup,Home City,Croatia,false
2019-09-10,England,Italy,1,0,Friendly,Home City,England,false
2019-10-14,Colombia,Sweden,1,0,World Cup,Dubai,Colombia,true
2022-10-03,Portugal,Morocco,0,0,Friendly,Home City,Portugal,false
2018-09-20,Morocco,Iran,1,0,Nations League,Home City,Morocco,false
2019-10-28,Mexico,Portugal,0,3,WC Qualifier,Home City,Mexico,false
2023-10-25,Switzerland,Colombia,1,1,WC Qualifier,Home City,Switzerland,false
2023-05-26,Chile,Brazil,1,3,World Cup,Doha,Chile,true
2024-03-25,Uruguay,Wales,2,0,Nations League,Home City,Uruguay,false
2025-06-04,Austria,Egypt,1,1,Nations League,Home City,Austria,false
2019-02-19,England,Colombia,4,1,Friendly,Home City,England,false
2019-10-22,United Arab Emirates,Spain,0,5,WC Qualifier,Home City,United Arab Emirates,false
2018-03-18,Peru,Mexico,0,4,WC Qualifier,Home City,Peru,false
2021-03-09,Wales,Japan,1,0,Friendly,Home City,Wales,false
2018-07-30,Denmark,Austria,2,1,Continental Cup,Home City,Denmark,false
2023-06-06,Croatia,Netherlands,4,1,WC Qualifier,Home City,Croatia,false
2025-03-31,Peru,Cameroon,0,1,Continental Cup,Home City,Peru,false
2024-01-06,Mexico,New Zealand,8,1,World Cup,Sydney,Mexico,true
2021-07-15,United Arab Emirates,England,0,2,Friendly,Home City,United Arab Emirates,false
2021-03-01,Colombia,USA,3,2,Continental Cup,Home City,Colombia,false
2025-07-27,Sweden,France,0,4,WC Qualifier,Home City,Sweden,false
2019-02-25,Panama,Brazil,0,3,Continental Cup,Home City,Panama,false
2023-01-26,Germany,Iraq,4,0,Friendly,Home City,Germany,false
2019-12-31,United Arab Emirates,Costa Rica,3,1,WC Qualifier,Home City,United Arab Emirates,false
2022-05-31,Italy,Paraguay,1,1,WC Qualifier,Home City,Italy,false
2021-11-27,Colombia,Sweden,4,0,WC Qualifier,Home City,Colombia,false
2025-08-05,Costa Rica,Tunisia,1,1,Continental Cup,Home City,Costa Rica,false
2022-07-28,Cameroon,Panama,0,1,Nations League,Home City,Cameroon,false
2022-03-19,New Zealand,Iran,2,0,Continental Cup,Home City,New Zealand,false
2023-03-22,Serbia,Portugal,0,1,Friendly,Home City,Serbia,false
2024-02-02,New Zealand,Uruguay,0,1,Nations League,Home City,New Zealand,false
2022-05-15,Qatar,Switzerland,2,1,Friendly,Home City,Qatar,false
2020-04-19,Senegal,Italy,2,1,WC Qualifier,Home City,Senegal,false
2022-01-23,Austria,Brazil,1,2,World Cup,New York,Austria,true
2018-05-08,Cameroon,Australia,0,2,WC Qualifier,Home City,Cameroon,false
2022-08-31,Spain,Panama,6,0,World Cup,Paris,Spain,true
2026-04-18,Uruguay,Argentina,0,1,Continental Cup,Home City,Uruguay,false
2019-12-14,England,United Arab Emirates,2,0,Friendly,Home City,England,false
2024-07-30,Tunisia,Italy,0,0,World Cup,Doha,Tunisia,true
2025-03-11,Serbia,Belgium,1,5,World Cup,Doha,Serbia,true
2025-09-23,Mexico,Egypt,3,1,Nations League,Home City,Mexico,false
2019-02-23,Japan,Algeria,1,1,Nations League,Home City,Japan,false
2025-02-06,Japan,Iraq,2,0,Continental Cup,Home City,Japan,false
2025-04-19,Brazil,Austria,1,0,Nations League,Home City,Brazil,false
2019-04-10,Japan,Croatia,2,0,Continental Cup,Home City,Japan,false
2020-03-18,England,Australia,2,1,Nations League,Home City,England,false
2019-07-05,Italy,Sweden,3,2,World Cup,London,Italy,true
2022-04-17,Denmark,Italy,0,2,World Cup,Sydney,Denmark,true
2021-05-06,France,Saudi Arabia,0,1,Friendly,Home City,France,false
2021-09-18,Algeria,Sweden,5,3,World Cup,New York,Algeria,true
2024-08-13,Qatar,USA,0,1,WC Qualifier,Home City,Qatar,false
2021-12-19,New Zealand,Colombia,0,4,World Cup,London,New Zealand,true
2023-12-17,Tunisia,South Korea,2,0,WC Qualifier,Home City,Tunisia,false
2023-05-14,Nigeria,Argentina,1,1,Friendly,Home City,Nigeria,false
2022-08-09,Panama,Algeria,1,0,Friendly,Home City,Panama,false
2018-08-31,Jamaica,Denmark,0,2,World Cup,Berlin,Jamaica,true
2022-11-12,Ivory Coast,Japan,2,1,World Cup,Madrid,Ivory Coast,true
2020-04-19,Saudi Arabia,Jamaica,1,1,WC Qualifier,Home City,Saudi Arabia,false
2019-01-08,New Zealand,Saudi Arabia,1,1,World Cup,Paris,New Zealand,true
2026-04-20,Mexico,Croatia,0,0,WC Qualifier,Home City,Mexico,false
2018-12-13,Tunisia,Mexico,0,0,Friendly,Home City,Tunisia,false
2024-10-30,Peru,Egypt,2,1,WC Qualifier,Home City,Peru,false
2020-04-16,Argentina,Iraq,3,0,World Cup,Madrid,Argentina,true
2026-05-11,Sweden,Denmark,3,0,Continental Cup,Home City,Sweden,false
2025-01-30,Egypt,Portugal,0,0,Nations League,Home City,Egypt,false
2022-09-13,New Zealand,Jamaica,0,3,Friendly,Home City,New Zealand,false
2018-12-14,Canada,Morocco,4,2,WC Qualifier,Home City,Canada,false
2022-03-29,Uruguay,South Korea,0,0,Friendly,Home City,Uruguay,false
2018-09-01,Saudi Arabia,Belgium,0,2,Continental Cup,Home City,Saudi Arabia,false
2023-07-04,South Africa,Denmark,0,0,Nations League,Home City,South Africa,false
2021-07-31,South Africa,Denmark,3,1,World Cup,New York,South Africa,true
2024-06-30,Switzerland,Austria,2,0,WC Qualifier,Home City,Switzerland,false
2020-03-18,Japan,Tunisia,0,1,Continental Cup,Home City,Japan,false
2021-06-02,Jamaica,Japan,2,3,World Cup,Paris,Jamaica,true
2024-08-09,Norway,South Korea,1,1,Nations League,Home City,Norway,false
2022-12-19,Saudi Arabia,Tunisia,2,0,Nations League,Home City,Saudi Arabia,false
2025-12-21,Peru,Italy,1,0,Continental Cup,Home City,Peru,false
2025-06-29,Peru,Ecuador,2,2,Friendly,Home City,Peru,false
2023-10-05,Saudi Arabia,Algeria,1,0,WC Qualifier,Home City,Saudi Arabia,false
2022-10-19,Chile,Norway,1,2,WC Qualifier,Home City,Chile,false
2019-12-16,Sweden,Jamaica,4,0,Nations League,Home City,Sweden,false
2024-03-05,South Africa,England,1,3,World Cup,Paris,South Africa,true
2019-08-22,Belgium,Tunisia,3,0,Friendly,Home City,Belgium,false
2020-10-06,Ivory Coast,Costa Rica,1,2,World Cup,New York,Ivory Coast,true
2019-08-15,Morocco,Germany,3,0,Continental Cup,Home City,Morocco,false
2026-04-05,United Arab Emirates,Switzerland,2,2,Continental Cup,Home City,United Arab Emirates,false
2018-04-14,Egypt,Paraguay,4,0,Nations League,Home City,Egypt,false
2025-04-01,Saudi Arabia,Serbia,1,1,WC Qualifier,Home City,Saudi Arabia,false
2023-01-30,Italy,South Africa,1,0,Nations League,Home City,Italy,false
2023-07-13,Costa Rica,Argentina,0,6,World Cup,Dubai,Costa Rica,true
2023-11-14,Colombia,Nigeria,4,1,WC Qualifier,Home City,Colombia,false
2024-03-02,Austria,Nigeria,2,1,WC Qualifier,Home City,Austria,false
2026-04-06,Egypt,Senegal,2,2,Continental Cup,Home City,Egypt,false
2019-09-18,Netherlands,Panama,2,0,Friendly,Home City,Netherlands,false
2018-03-30,Switzerland,Austria,0,2,Friendly,Home City,Switzerland,false
2023-09-01,Australia,Iran,2,2,Nations League,Home City,Australia,false
2024-10-27,Iran,Netherlands,1,0,World Cup,New York,Iran,true
2019-03-16,Uruguay,Egypt,0,1,WC Qualifier,Home City,Uruguay,false
2025-02-18,Chile,Panama,2,0,Continental Cup,Home City,Chile,false
2025-09-16,Croatia,South Korea,0,0,Nations League,Home City,Croatia,false
2021-07-01,Serbia,Germany,2,1,Continental Cup,Home City,Serbia,false
2023-01-27,Cameroon,England,1,2,Continental Cup,Home City,Cameroon,false
2021-12-26,Serbia,Algeria,3,1,Continental Cup,Home City,Serbia,false
2025-06-14,Colombia,Croatia,0,0,Friendly,Home City,Colombia,false
2024-05-08,Egypt,Uruguay,0,2,Continental Cup,Home City,Egypt,false
2019-10-18,England,Australia,2,0,Continental Cup,Home City,England,false
2024-01-01,Mexico,Costa Rica,3,1,Nations League,Home City,Mexico,false
2024-10-16,Morocco,Austria,1,0,World Cup,Madrid,Morocco,true
2020-11-16,Spain,England,3,0,Nations League,Home City,Spain,false
2019-03-14,Netherlands,Wales,1,1,Continental Cup,Home City,Netherlands,false
2022-05-21,Chile,Nigeria,1,2,World Cup,Berlin,Chile,true
2023-08-11,Switzerland,Uruguay,2,3,Nations League,Home City,Switzerland,false
2021-03-25,Qatar,Canada,1,0,Nations League,Home City,Qatar,false
2018-06-29,USA,New Zealand,3,0,Nations League,Home City,USA,false
2022-10-11,Germany,Denmark,1,0,Continental Cup,Home City,Germany,false
2026-04-20,Saudi Arabia,Germany,1,0,WC Qualifier,Home City,Saudi Arabia,false
2026-02-12,Paraguay,Croatia,1,2,WC Qualifier,Home City,Paraguay,false
2019-07-18,Australia,South Africa,2,3,Continental Cup,Home City,Australia,false
2022-01-16,Algeria,Peru,0,3,Friendly,Home City,Algeria,false
2026-02-10,Peru,Mexico,2,1,WC Qualifier,Home City,Peru,false
2021-01-11,Chile,Ivory Coast,4,0,Nations League,Home City,Chile,false
2025-02-19,Cameroon,Ecuador,3,1,Friendly,Home City,Cameroon,false
2022-01-05,Sweden,Ivory Coast,3,0,WC Qualifier,Home City,Sweden,false
2025-12-31,Tunisia,Ivory Coast,2,2,World Cup,Dubai,Tunisia,true
2023-09-09,Costa Rica,Japan,1,2,Continental Cup,Home City,Costa Rica,false
2023-06-01,South Africa,Senegal,1,2,Nations League,Home City,South Africa,false
2024-11-30,Saudi Arabia,Nigeria,5,2,Continental Cup,Home City,Saudi Arabia,false
2019-05-31,Croatia,Ecuador,3,0,Friendly,Home City,Croatia,false
2024-03-16,Colombia,Denmark,2,0,Friendly,Home City,Colombia,false
2019-07-09,South Korea,United Arab Emirates,6,0,Continental Cup,Home City,South Korea,false
2019-03-20,Tunisia,Panama,2,2,Continental Cup,Home City,Tunisia,false
2025-09-15,USA,South Korea,1,2,WC Qualifier,Home City,USA,false
2022-03-30,Chile,Peru,2,1,WC Qualifier,Home City,Chile,false
2020-12-11,Australia,South Africa,4,1,Nations League,Home City,Australia,false
2025-09-04,Senegal,Colombia,0,2,Nations League,Home City,Senegal,false
2025-01-23,South Korea,Sweden,5,3,World Cup,London,South Korea,true
2024-11-08,Ivory Coast,Colombia,1,6,Nations League,Home City,Ivory Coast,false
2024-07-16,Germany,Denmark,2,0,Friendly,Home City,Germany,false
2018-09-26,Denmark,Paraguay,3,0,Nations League,Home City,Denmark,false
2025-08-06,Switzerland,Denmark,0,1,WC Qualifier,Home City,Switzerland,false
2025-09-23,Paraguay,Germany,0,0,Nations League,Home City,Paraguay,false
2021-04-21,Morocco,Portugal,1,2,World Cup,Doha,Morocco,true
2021-06-26,England,Iran,2,1,WC Qualifier,Home City,England,false
2019-05-23,Portugal,Chile,1,0,WC Qualifier,Home City,Portugal,false
2018-07-15,England,Panama,4,0,Continental Cup,Home City,England,false
2020-01-27,Portugal,Austria,2,0,Continental Cup,Home City,Portugal,false
2021-04-24,Uruguay,Netherlands,0,3,Nations League,Home City,Uruguay,false
2019-07-18,Nigeria,Croatia,2,2,Continental Cup,Home City,Nigeria,false
2018-01-14,Denmark,New Zealand,2,0,Continental Cup,Home City,Denmark,false
2020-12-23,Portugal,United Arab Emirates,1,0,WC Qualifier,Home City,Portugal,false
2022-05-04,Belgium,Iraq,2,1,Nations League,Home City,Belgium,false
2025-06-26,Switzerland,Austria,1,1,Friendly,Home City,Switzerland,false
2025-02-25,Croatia,Denmark,3,2,Nations League,Home City,Croatia,false
2024-09-30,Netherlands,Croatia,3,1,Nations League,Home City,Netherlands,false
2019-03-01,Saudi Arabia,Ivory Coast,0,2,Nations League,Home City,Saudi Arabia,false
2022-02-23,Italy,Austria,2,0,World Cup,Dubai,Italy,true
2020-07-05,Sweden,Norway,2,1,Friendly,Home City,Sweden,false
2024-07-27,Sweden,Egypt,2,1,Continental Cup,Home City,Sweden,false
2019-10-28,South Korea,Algeria,1,2,Nations League,Home City,South Korea,false
2019-08-19,Nigeria,Argentina,0,2,World Cup,Madrid,Nigeria,true
2024-09-29,Portugal,Costa Rica,1,0,Nations League,Home City,Portugal,false
2026-02-10,Uruguay,Austria,0,2,WC Qualifier,Home City,Uruguay,false
2022-10-30,Panama,Tunisia,3,0,WC Qualifier,Home City,Panama,false
2019-05-03,Jamaica,Australia,2,1,Nations League,Home City,Jamaica,false
2020-01-25,Cameroon,Egypt,4,2,Nations League,Home City,Cameroon,false
2021-03-31,South Africa,Nigeria,0,3,WC Qualifier,Home City,South Africa,false
2021-10-31,Canada,Belgium,1,2,Nations League,Home City,Canada,false
2019-02-14,Sweden,United Arab Emirates,2,1,Friendly,Home City,Sweden,false
2024-03-30,Algeria,Panama,0,0,Nations League,Home City,Algeria,false
2025-09-22,Algeria,Uruguay,3,1,Nations League,Home City,Algeria,false
2026-05-12,Panama,United Arab Emirates,2,3,Friendly,Home City,Panama,false
2018-08-29,United Arab Emirates,Australia,3,3,Nations League,Home City,United Arab Emirates,false
2024-03-19,South Korea,Saudi Arabia,1,1,Friendly,Home City,South Korea,false
2021-04-17,Nigeria,Canada,2,0,World Cup,Sydney,Nigeria,true
2023-01-04,Uruguay,USA,0,0,Friendly,Home City,Uruguay,false
2020-07-27,Tunisia,Nigeria,2,1,World Cup,Doha,Tunisia,true
2020-09-20,Peru,Panama,4,1,Continental Cup,Home City,Peru,false
2019-08-08,England,Colombia,2,3,WC Qualifier,Home City,England,false
2025-06-18,Spain,Panama,2,0,Friendly,Home City,Spain,false
2024-08-21,Austria,Argentina,0,1,Friendly,Home City,Austria,false
2022-11-12,Germany,USA,0,1,World Cup,Doha,Germany,true
2025-10-20,Denmark,England,1,3,WC Qualifier,Home City,Denmark,false
2026-01-21,Chile,Argentina,0,0,World Cup,Doha,Chile,true
2022-11-14,Wales,Denmark,0,1,Nations League,Home City,Wales,false
2023-02-24,Saudi Arabia,Sweden,2,1,World Cup,Madrid,Saudi Arabia,true
2023-06-20,South Africa,Portugal,0,2,Continental Cup,Home City,South Africa,false
2020-05-29,Japan,Costa Rica,5,1,WC Qualifier,Home City,Japan,false
2025-06-23,Portugal,Serbia,4,1,WC Qualifier,Home City,Portugal,false
2023-11-30,Iran,Croatia,0,0,Friendly,Home City,Iran,false
2019-04-19,Peru,Iraq,2,0,Nations League,Home City,Peru,false
2024-02-29,Austria,Italy,0,2,World Cup,Sydney,Austria,true
2019-12-01,Spain,New Zealand,1,0,WC Qualifier,Home City,Spain,false
2023-01-01,Austria,Mexico,0,1,World Cup,Doha,Austria,true
2025-08-12,Japan,Egypt,0,2,World Cup,Paris,Japan,true
2024-02-06,Chile,Nigeria,2,2,Nations League,Home City,Chile,false
2022-10-11,Senegal,Wales,2,3,World Cup,Madrid,Senegal,true
2020-09-30,Colombia,South Korea,0,1,WC Qualifier,Home City,Colombia,false
2018-08-15,Spain,United Arab Emirates,5,1,Continental Cup,Home City,Spain,false
2023-12-19,Germany,Argentina,0,1,World Cup,New York,Germany,true
2019-03-30,South Korea,Australia,1,0,Continental Cup,Home City,South Korea,false
2022-08-23,Austria,Morocco,0,3,Friendly,Home City,Austria,false
2020-09-16,Australia,Austria,2,2,Continental Cup,Home City,Australia,false
2023-06-02,USA,Sweden,2,0,Friendly,Home City,USA,false
2025-08-16,Ecuador,Egypt,0,1,Friendly,Home City,Ecuador,false
2023-10-13,Australia,France,1,1,Friendly,Home City,Australia,false
2021-10-18,Brazil,Peru,3,0,Continental Cup,Home City,Brazil,false
2018-01-03,New Zealand,Egypt,0,3,Friendly,Home City,New Zealand,false
2021-01-04,South Africa,Ivory Coast,1,2,Continental Cup,Home City,South Africa,false
2018-02-06,Wales,Brazil,0,1,Continental Cup,Home City,Wales,false
2020-03-13,South Africa,France,0,1,Nations League,Home City,South Africa,false
2025-06-24,Spain,Nigeria,2,1,Friendly,Home City,Spain,false
2023-09-24,Tunisia,Switzerland,2,1,World Cup,Sydney,Tunisia,true
2022-03-31,Iran,Chile,1,1,World Cup,Doha,Iran,true
2021-08-20,Ecuador,Egypt,3,0,WC Qualifier,Home City,Ecuador,false
2025-08-24,Iraq,New Zealand,2,0,WC Qualifier,Home City,Iraq,false
2023-07-28,Jamaica,Egypt,2,0,Continental Cup,Home City,Jamaica,false
2024-11-11,Iraq,Ecuador,0,1,Continental Cup,Home City,Iraq,false
2020-02-07,Chile,Saudi Arabia,1,0,WC Qualifier,Home City,Chile,false
2020-03-21,Iraq,Tunisia,2,2,Continental Cup,Home City,Iraq,false
2022-11-04,Nigeria,Tunisia,1,0,Nations League,Home City,Nigeria,false
2025-09-20,Australia,Germany,2,2,Nations League,Home City,Australia,false
2019-09-28,Belgium,Japan,2,2,World Cup,New York,Belgium,true
2020-01-20,Iran,Denmark,1,0,WC Qualifier,Home City,Iran,false
2023-06-09,Belgium,Sweden,1,0,Continental Cup,Home City,Belgium,false
2021-06-12,Egypt,Japan,2,1,WC Qualifier,Home City,Egypt,false
2023-02-23,Austria,Denmark,3,1,World Cup,Doha,Austria,true
2021-07-28,Spain,Mexico,1,0,WC Qualifier,Home City,Spain,false
2026-02-22,New Zealand,Switzerland,0,0,World Cup,Paris,New Zealand,true
2024-06-08,Switzerland,Sweden,4,3,World Cup,Sydney,Switzerland,true
2019-09-29,Norway,Portugal,3,0,WC Qualifier,Home City,Norway,false
2024-01-01,Paraguay,Uruguay,3,0,WC Qualifier,Home City,Paraguay,false
2019-01-07,Egypt,Sweden,0,0,World Cup,Berlin,Egypt,true
2020-11-12,Brazil,Algeria,2,0,World Cup,Doha,Brazil,true
2024-07-06,Brazil,Germany,1,0,World Cup,Paris,Brazil,true
2019-08-20,Argentina,Saudi Arabia,1,0,Continental Cup,Home City,Argentina,false
2023-07-19,United Arab Emirates,Norway,4,2,Friendly,Home City,United Arab Emirates,false
2022-01-01,United Arab Emirates,Qatar,1,2,Nations League,Home City,United Arab Emirates,false
2020-09-17,Wales,USA,2,1,Nations League,Home City,Wales,false
2018-03-23,Egypt,Senegal,1,2,Friendly,Home City,Egypt,false
2025-02-02,Ivory Coast,Japan,1,0,WC Qualifier,Home City,Ivory Coast,false
2019-09-15,Cameroon,Ivory Coast,1,1,Continental Cup,Home City,Cameroon,false
2019-03-23,Ivory Coast,South Korea,0,1,World Cup,Berlin,Ivory Coast,true
2021-11-21,Norway,Brazil,1,1,Continental Cup,Home City,Norway,false
2025-07-12,Portugal,Belgium,2,2,World Cup,London,Portugal,true
2019-08-25,Brazil,South Korea,0,2,Nations League,Home City,Brazil,false
2025-08-09,Switzerland,Brazil,0,0,Nations League,Home City,Switzerland,false
2021-02-20,Denmark,South Africa,0,0,Nations League,Home City,Denmark,false
2020-06-07,Tunisia,France,1,0,WC Qualifier,Home City,Tunisia,false
2022-02-26,USA,Morocco,1,1,Friendly,Home City,USA,false
2018-01-13,Austria,Chile,2,1,Continental Cup,Home City,Austria,false
2024-10-12,Peru,Denmark,0,0,WC Qualifier,Home City,Peru,false
2019-12-23,Jamaica,Switzerland,1,1,Continental Cup,Home City,Jamaica,false
2020-03-07,Iran,Argentina,0,1,Friendly,Home City,Iran,false
2022-11-22,Wales,Egypt,0,0,WC Qualifier,Home City,Wales,false
2021-09-01,Portugal,Canada,3,1,WC Qualifier,Home City,Portugal,false
2019-09-01,Morocco,Panama,1,0,Continental Cup,Home City,Morocco,false
2018-06-29,Saudi Arabia,Italy,0,0,WC Qualifier,Home City,Saudi Arabia,false
2022-12-20,Nigeria,Canada,1,2,Friendly,Home City,Nigeria,false
2022-12-16,Egypt,Spain,0,1,World Cup,London,Egypt,true
2018-08-10,France,Wales,3,0,Nations League,Home City,France,false
2022-09-20,Cameroon,Sweden,0,1,World Cup,New York,Cameroon,true
2020-03-11,Japan,Panama,3,0,Friendly,Home City,Japan,false
2020-07-08,Morocco,USA,3,1,Nations League,Home City,Morocco,false
2019-02-26,Serbia,Paraguay,1,0,Friendly,Home City,Serbia,false
2019-10-11,Wales,Iraq,1,1,World Cup,Madrid,Wales,true
2022-06-10,Jamaica,Netherlands,0,2,Continental Cup,Home City,Jamaica,false
2023-06-13,Ecuador,New Zealand,1,0,WC Qualifier,Home City,Ecuador,false
2022-04-29,Ivory Coast,Costa Rica,2,0,World Cup,London,Ivory Coast,true
2023-03-09,Chile,France,0,3,Nations League,Home City,Chile,false
2022-09-02,Japan,Paraguay,3,0,Friendly,Home City,Japan,false
2018-10-10,Argentina,Belgium,3,0,Nations League,Home City,Argentina,false
2026-03-08,Paraguay,Denmark,0,1,Continental Cup,Home City,Paraguay,false
2019-08-07,Saudi Arabia,Switzerland,3,0,Nations League,Home City,Saudi Arabia,false
2025-07-25,Brazil,Paraguay,4,0,WC Qualifier,Home City,Brazil,false
2022-02-04,United Arab Emirates,Ecuador,0,5,Continental Cup,Home City,United Arab Emirates,false
